query_id,retrieved_doc,retrieval_miss,retrieval_score,standalone_answer,rag_answer,standalone_unsupported_rate,rag_unsupported_rate,generation_failure
75,4387784,0,0.26297253370285034,"UreB is a polymeric structure that compromises two subunits, UreA and UreB.","HpUreI is a hexameric structure that compromises two subunits, UreA and UreB.",0.5714285714285714,0.375,0
94,46926352,1,0.20915038883686066,Albendazole is used to treat lymphatic filariasis.,LECs are a key factor in the development of lymphatic filariasis.,0.6,0.6666666666666666,1
99,56391045,1,0.2115977555513382,PGAM1 is a phosphorylated phosphorylated phosphorylated phosphorylated by a phosphorylated phosphorylated phosphorylated phosphorylated by a phosphoryl,"Diaspora bonds are a stable and cheap source of external finance, often when countries lost access to international capital markets.",0.3333333333333333,1.0,1
100,4381486,0,0.4112778604030609,All hematopoietic stem cells segregate their chromosomes randomly.,"HSCs are not asymmetrically segregated by BrdU-label-retaining cells, which are not asymmetrically segregated by BrdU-label-retaining cells.",0.125,0.1111111111111111,0
113,1759213,1,0.39066898822784424,Angiotensin converting enzymes are associated with increased risk for functional renal insufficiency.,Combination therapy with aliskiren and angiotensin converting enzyme inhibitors or angiotensin receptor blockers is associated with an increased risk for hyperkalaemia compared with monotherapy using angioten,0.2222222222222222,0.5882352941176471,1
115,2140513,1,0.22036662697792053,Anthrax spores can be disposed of easily after they are dispersed.,We propose that the evolution of pleiotropic links between cheating and personal costs can stabilize cooperative adaptations.,0.75,0.9166666666666666,1
118,6372244,0,0.6078180074691772,Antibiotics in the gut microbiome reduce resistance to Clostridium difficile,Antibiotic-induced changes in the gut microbiome reduce resistance against Clostridium difficile infection,0.14285714285714285,0.09090909090909091,0
124,4883040,0,0.3423796594142914,Antiretroviral therapy reduces the rate of tuberculosis across a broad range of CD4 strata.,Antiretroviral therapy is strongly associated with a reduction in the incidence of tuberculosis in all baseline CD4 count categories.,0.4,0.0,0
127,293661,1,0.41756105422973633,Arginine 90 in p150n is important for interaction with EB1.,Arginine deprivation is a promising anticancer therapy for arginine-dependent cancers.,0.8,1.0,1
128,1122279,1,0.2108926922082901,                       ,endothelium-mediated relaxation and increases endothelial nitric oxide synthase mRNA levels of collateral-dependent microvasculature.,1.0,1.0,1
129,27768226,0,0.41548383235931396,Using open access format is less likely to be cited than traditional journals.,PLoS Biology publishes a research article by Gunther Eysenbach that is not about biology.,0.3,0.0,0
130,27768226,0,0.41548383235931396,The authors of the articles are more likely to be cited than traditional journals.,PLoS Biology publishes a research article by Gunther Eysenbach that is not about biology.,0.125,0.0,0
132,7613033,1,0.34704655408859253,Aspirin inhibits the production of PGE2.,Aspirin is a promising anticancer drug that can be used in the prevention of colorectal cancer.,0.75,0.7777777777777778,1
133,45764440,1,0.21138349175453186,"phosphatidylinositol-3,4-biphosphate and the activation of the nonreceptor tyrosine kinase Src.",Src activation contributes to pancreatic tumor progression and metastasis in an orthotopic nude mouse model.,0.8571428571428571,0.6363636363636364,1
137,26016929,0,0.43229803442955017,Asymptomatic visual impairment screening in elderly populations does not lead to improved vision.,Screening of asymptomatic older people in the community is not justified on present evidence.,0.45454545454545453,0.0,0
141,14437255,0,0.26588690280914307,Auditory entrainment is strengthened when people see congruent visual and auditory information.,a novel framework for indexing multisensory integration in the context of continuous speech.,0.3333333333333333,0.0,0
142,10582939,0,0.23662085831165314,Autologous transplantation of mesenchymal stem cells causes a higher rate of opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,"Autologous MSCs are a replacement of antibody induction for patients with end-stage renal disease who undergo ABO-compatible, cross-match-negative kidney transplants from a living-related donor.",0.29411764705882354,0.0,0
143,10582939,0,0.2551546096801758,Autologous transplantation of mesenchymal stem cells causes fewer opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,Autologous MSCs are a replacement of antibody induction for end-stage renal disease.,0.3125,0.0,0
146,10582939,0,0.25126269459724426,Autologous transplantation of mesenchymal stem cells has lower rates of rejection than induction therapy with anti-interleukin-2 receptor antibodies.,"Autologous MSCs are a replacement of antibody induction for patients with end-stage renal disease who undergo ABO-compatible, cross-match-negative kidney transplants from a living-related donor.",0.2,0.0,0
148,8002887,1,0.3095332682132721,Autophagy declines in aged organisms.,Foxk1 and Foxk2 are transcriptional repressors of autophagy in muscle cells and fibroblasts.,0.0,0.875,1
163,18872233,0,0.599655032157898,Bariatric surgery is a positive impact on mental health.,Bariatric surgery is associated with sustained weight loss and improved physical health status for severely obese individuals.,0.3333333333333333,0.0,0
171,12670680,0,0.47676125168800354,Basophils are a useful tool for preventing disease development in patients with systemic lupus erythematosus.,"In systemic lupus erythematosus (SLE), self-reactive antibodies can target the kidney (lupus nephritis), leading to functional failure and possible mortality.",0.4,0.0,0
179,16322674,0,0.42312347888946533,The sex-weight ratio is a positive factor in breast cancer.,Birth weight and head circumference from birth records were positively associated with breast cancer risk.,0.14285714285714285,0.0,0
180,16966326,0,0.6915320158004761,TDP-43 is a cellular molecule that regulates the interaction between TDP-43 and respiratory complex I proteins ND3 and ND6.,Our study shows that TDP-43 mitochondrial localization is a promising therapeutic approach for neurodegeneration.,0.5454545454545454,0.2,0
183,46193388,1,0.35285207629203796,Bone marrow cells are a key component of macrophage compartments.,Bone marrow cells are a source of neurons in the brain and may provide an alternative source of neurons in patients with neurodegenerative diseases or central nervous system injury.,0.5714285714285714,0.875,1
185,21874312,1,0.3095567524433136,Breast cancer is a disease that is characterized by a lack of genetic factors.,The risk of developing breast cancer is determined by genetic factors.,0.2857142857142857,0.2857142857142857,0
198,13778710,1,0.11869147419929504,dLNs,CCRL2 binds chemerin and increases local chemerin concentration to efficiently present it to CMKLR1,1.0,1.0,1
208,2140497,1,0.49242016673088074,CHEK2 is not associated with breast cancer.,"Similarly, having dense breasts was associated with higher risk of breast cancer than having nondense breasts",0.4,0.7272727272727273,1
212,7808055,1,0.34963124990463257,CR is associated with higher methylation age.,DNA methylation age is associated with higher methylation age in human tissues and cell types.,0.25,0.4444444444444444,0
213,27054878,1,0.387405127286911,CRP is not predictive of postoperative mortality following Coronary Artery Bypass Graft (CABG).,"Preoperative CRP levels as low as 3 mg/l are associated with increased long-term mortality and hospital length of stay in surgical patients undergoing primary, nonemergent coronary artery bypass graft-only surgery.",0.5454545454545454,0.6521739130434783,1
216,21366394,0,0.44622907042503357,CX3CR1 on the Th2 cells impairs T cell survival,CX3CR1 signaling promotes T helper cell survival and maintenance in inflamed lung.,0.3333333333333333,0.1111111111111111,0
217,21366394,0,0.3799539804458618,CX3CR1 on the Th2 cells promotes T cell survival,CX3CR1 signaling promotes T cell survival and maintenance in inflamed lung.,0.3333333333333333,0.125,0
218,21366394,0,0.49353399872779846,CX3CR1 on the Th2 cells promotes airway inflammation.,CX3CR1 signaling promotes airway inflammation in patients with asthma.,0.3333333333333333,0.2857142857142857,0
219,21366394,0,0.5297966599464417,CX3CR1 on the Th2 cells suppresses airway inflammation.,CX3CR1 signaling promotes T helper cell survival and maintenance in inflamed lung.,0.3333333333333333,0.1111111111111111,0
230,3067015,0,0.21397121250629425,Benzomic acid is a metabolite of alcohol.,"BACKGROUND Alcohol has been reported to be a common and modifiable risk factor for hypertension. However, clinical trials are difficult to implement and have limited follow-up time. Mendelian randomization can provide",0.75,0.0,0
232,10536636,0,0.5696792006492615,trachoma is the primary cause of blindness in southern Sudan.,"We aimed to estimate the prevalence of blindness and low vision, identify the main causes of blindness and low vision, and estimate targets for blindness prevention programs in Mankien payam (district), southern Sudan.",0.5,0.0,0
233,4388470,0,0.29963865876197815,Galliformes are a genus of sex that is characterized by a genus of sex that is characterized by a genus of sex that is characterized by,The sex-determining mechanism in birds is a sex-determining mechanism in birds.,0.75,0.0,0
236,4388470,0,0.34162259101867676,The sex determination of a sex-dependent sex is a key factor in the development of sex-dependent sex.,"Angiomorph chickens are genuine male:female chimaeras, and indicate that male and female avian somatic cells possess an inherent sex identity.",0.6666666666666666,0.14285714285714285,0
237,4942718,0,0.3610309660434723,clpC is a defect in sporulation efficiency in Bacillus subtilis.,Transposon-sequencing of sporulation genes in Bacillus subtilis shows that sporulation-induced genes are required for spore development.,0.5,0.09090909090909091,0
238,4463811,1,0.2797327935695648,Isotopic alterations in the methionine synapse may activate miRNAs.,Methionine restriction is a key mechanism for extending mammalian life span.,0.7142857142857143,1.0,1
239,516867,1,0.2988138794898987,Cellular aging is a cellular aging process that is closely linked to an older appearance.,Sir2 regulates cellular aging in C. albicans.,0.8571428571428571,1.0,1
248,23369842,1,0.3558320999145508,                       ,The 'post-obese' diet was a significant improvement in energy expenditure in the obese and post-obese groups.,1.0,0.75,1
249,23369842,1,0.40124213695526123,                       ,The 'post-obese' diet was a significant improvement in energy expenditure in the obese and post-obese groups.,1.0,0.75,1
261,32322418,1,0.21282897889614105,"Chronic aerobic exercise alters endothelial function, improving vasodilating mechanisms mediated by NO.",The plasma NOx concentration of cyclic guanosine monophosphate (cGMP) increased by aerobic exercise training in older humans.,0.6,0.7692307692307693,1
268,970012,0,0.3160878121852875,Cold exposure increases BAT recruitment.,Cold exposure stimulates atherosclerotic plaque growth and instability in mice.,0.4,0.125,0
269,970012,0,0.3114604651927948,Cold exposure reduces BAT recruitment.,Cold exposure reduces the inflammatory response to atherosclerotic lesions in mice.,0.4,0.25,0
274,11614737,0,0.4998047351837158,varenicline monotherapy is a combination of nicotine replacement therapies with varenicline or bupropion.,Combination nicotine replacement therapies with varenicline or bupropion SR may increase smoking abstinence at 52 weeks.,0.42857142857142855,0.2727272727272727,0
275,4961038,0,0.2642146348953247,MEK 1/2 is a phosphatidylinositide inhibitor that is used to treat KRAS mutant tumors.,These results suggest that combination of phosphatidylinositide 3-kinase and MEK 1/2 inhibitors may be effective at treating KRAS mutant tumors.,0.25,0.21428571428571427,0
279,83667891,1,0.392444372177124,7489 baise pairs,The genome of the Piper yellow mottle virus and the Cucumber mosaic virus infecting black pepper in Sri Lanka is 7489 baise pairs.,0.6666666666666666,0.6,1
294,32638085,1,0.15947271883487701,Crossover hot spots are not found within gene promoters in Saccharomyces cerevisiae.,Histone acetylation and histone deacetylation in Saccharomyces cerevisiae are not only repressive but can be required for gene activity.,0.5,0.6153846153846154,1
295,20310709,0,0.4722059667110443,The innate lymphoid cells (ILCs) are important in the regulation of intestinal homeostasis.,T-bet regulates interplay between dendritic cells and innate lymphoid cells in intestinal microbiota.,0.25,0.0,0
298,23403754,1,0.2542831003665924,Cytochrome c is released from the mitochondrial intermembrane space to cytosol during apoptosis.,(II),0.375,1.0,1
300,16120395,1,0.4220900535583496,Cytosolic proteins bind to iron-responsive elements on mRNAs coding for proteins involved in iron uptake.,Our results show that RNA surveillance through multiple ribonucleolytic pathways plays a role in iron homeostasis in yeast to avoid the potentially toxic effects of the expression of the iron starvation response in iron,0.8,0.8095238095238095,1
303,4388470,0,0.2487839162349701,DMRT1 is a sex-determining gene that is epigenetically regulated by the MHM region.,"Angiomorph chickens are genuine male:female chimaeras and indicate that male and female avian somatic cells possess an inherent sex identity and that, in birds, sexual differentiation is substantive",0.625,0.16666666666666666,0
312,15966318,1,0.27971214056015015,De novo assembly of sequence data has more specific contigs than unassembled sequence data.,A new computer program for comparison of protein and DNA sequences has been developed to allow comparison of DNA sequences based on a variety of alternative scoring matrices.,0.3333333333333333,0.7333333333333333,1
314,2638387,1,0.23353178799152374,cytidine to uridine is a mutagenic molecule that is a molecule that is a molecule that is a molecule that is a molecule that is a molecule,CEM15 induces hypermutation in newly synthesized viral DNA in vivo and in cell culture.,1.0,0.6,1
324,23816832,1,0.20986308157444,Deleting Raptor reduces G-CSF levels.,A novel biomarker for multiple sclerosis is a novel biomarker for the diagnosis of multiple sclerosis.,0.8,1.0,1
327,17997584,0,0.1005198061466217,v8 is a phenotype that is not a spontaneous inflammatory phenotype.,Our results show that effector Treg cells suppress exuberant immune responses during active inflammation.,0.0,0.0,0
338,23349986,0,0.36764058470726013,Dexamethasone decreases risk of postoperative bleeding.,Prevalence of postoperative bleeding at 24 hours after tonsillectomy: a randomized trial.,0.2,0.125,0
343,308862,1,0.2419404685497284,Diabetic patients with acute coronary syndrome experience increased short-term and long-term risk for bleeding events.,Radiotherapy plus long-term androgen suppression improves overall survival in patients with locally advanced prostate cancer.,0.3076923076923077,0.5714285714285714,1
350,16927286,0,0.28525662422180176,IF3 is a synapse of a tRNA that is a tRNA that is a tRNA that is a tRNA that is a tRNA that is ,IF1 and IF3 are a key anchoring points for the initiation pathway and the initiation pathway.,0.3333333333333333,0.0,0
354,8774475,0,0.4556785523891449,Scribble is a molecule that is a molecule that is a molecule that is a molecule that is a molecule that is a molecule that is a molecule that is a ,"Depletion of Scribble in mammary epithelia disrupts cell polarity, blocks three-dimensional morphogenesis, inhibits apoptosis, and induces dysplasia in viv",0.5,0.0625,0
362,38587347,0,0.21914809942245483,During the primary early antibody response activated B cells migrate toward the inner-and outer paracortical areas where oxysterol accumulation is generated by stromal cells.,"The role of chemokines, S1P and EBI2 in the migration events that underlie humoral immune responses.",0.5555555555555556,0.0,0
380,2248870,1,0.1981549859046936,Enhanced early production of inflammatory chemokines improves viral control in the lung.,These results demonstrate that lung DCs imprint T cell lung homing and promote lung immunity through CCR4,0.2222222222222222,0.8333333333333334,1
384,3462075,1,0.1835668385028839,Epidemiological disease burden from noncommunicable diseases is more prevalent in low economic settings.,relapsed Bcell acute lymphoblastic leukemia.,0.5,1.0,1
385,1032372,1,0.20630019903182983,Epigenetic modulating agents (EMAs) modulate antitumor immune response in a cancer model system.,Epigenetic modulating agents modulate the antitumor immune response in a cancer model system.,0.36363636363636365,0.3,0
386,16495649,0,0.29464325308799744,Symptoms of peripheral IV drug administration are most common during bolus administration and multiple-step medicine preparations.,The rate of errors in peripheral IV drug administration and multiple-step medicine preparations is high.,0.5,0.3,0
388,1148122,0,0.3729571998119354,Ethanol stress decreases the expression of IBP in bacteria.,We have developed a combined experimental/computational framework to address this problem and use it to understand the genetic basis of ethanol tolerance in Escherichia coli.,0.8333333333333334,0.06666666666666667,0
399,791050,0,0.4106946289539337,The onset of anxiety is a common cause of anxiety.,"exposure to PM2.5 was associated with high symptoms of anxiety, with more recent exposures potentially more relevant than more distant exposures.",0.75,0.0,0
410,14924526,0,0.5941185355186462,Febrile seizures increase the threshold for development of epilepsy.,Hyperthermia-induced seizures in the immature rat cause a selective presynaptic increase in inhibitory synaptic transmission in the hippocampus that lasts into adulthood.,0.16666666666666666,0.0,0
411,14924526,0,0.5729044675827026,Febrile seizures reduce the threshold for development of epilepsy.,Our results suggest that hyperthermia-induced seizures in the immature rat cause a selective presynaptic increase in inhibitory synaptic transmission in the hippocampus that lasts into adulthood,0.3333333333333333,0.15789473684210525,0
415,4709641,1,0.4089014232158661,APOE4 alleles are a common inherited trait of the genus Apolipoprotein E4.,"Our results suggest that ApoE4-expressing neurons have a greater risk of dementia, indicating that ApoE4-expressing neurons have a greater risk of dementia.",1.0,0.6,1
421,17631671,1,0.16479161381721497,The steric hindrance in the tumor microenviroment is greater than rigid molecules.,"Cadherins and related molecules in the nervous system have significantly progressed in the development of the nervous system but also for its functions and, in turn, for neural disorders.",0.875,1.0,1
431,19922508,1,0.34736382961273193,FoxO3a activation in neuronal death is mediated by reactive oxygen species (ROS).,Reactive oxygen species formation is mediated by oxidative stress and oxidative stress.,0.7777777777777778,0.5714285714285714,1
436,14637235,0,0.18799227476119995,Free histones are degraded by a Rad53-dependent mechanism once DNA has been replicated.,Excess histones are regulated by phosphorylation and ubiquitylation dependent proteolysis by the proteasome.,0.5,0.0,0
437,24466904,1,0.15079829096794128,Myelodysplastic syndrome is a genus of inherited diseases that is characterized by a lack of an animal model.,Myelodysplastic syndromes stroma is a morphologically normal hematopoiesis.,1.0,1.0,1
439,18575183,1,0.2132323831319809,Fz/PCP-dependent Pk localizes to the anterior membrane of neuroectoderm cells during zebrafish neuralation,"Wnt5a is required for proper subcellular distribution of a PCP protein, Ltap/Vangl2, and that Wnt5a interacts genetically with Ltap/Vangl2 for uniform orientation",0.6,0.8461538461538461,1
440,18575183,1,0.21214956045150757,Fz/PCP-dependent Pk localizes to the anterior membrane of notochord cells during zebrafish neuralation.,"Wnt5a is required for proper subcellular distribution of a PCP protein, Ltap/Vangl2, and that Wnt5a interacts genetically with Ltap/Vangl2 for uniform orientation",0.6,0.8461538461538461,1
443,10165258,0,0.3575626015663147,GATA-3 is important for hematopoietic stem cell function.,GATA-3 is required for the maintenance of a normal number of LT-HSCs and for their entry into the cell cycle.,0.3333333333333333,0.0,0
452,464511,0,0.19035789370536804,Gene expression does not vary appreciably across genetically identical cells.,"We show that the stochastic decision between a solitary, motile state and a chained, sessile state in Bacillus subtilis is modular, as initiation and maintenance of chaining are genetic",0.5,0.0625,0
475,23576165,1,0.23870748281478882,glycolysis is one of the primary glycometabolic pathways in cells.,"Aerobic glycolysis may also occur in the stromal compartment that surrounds the tumor; thus, the stromal cells feed the cancer cells with lactate and this interaction prevents the creation of an acidic condition in the tumor",0.8333333333333334,0.8947368421052632,1
478,34854444,1,0.2573574483394623,Golli-deficient T-cells prefer to differentiate into an anergic phenotype in the adaptive immune response when there are increased levels of Ca2+ in the cytosol.,Golli-deficient T-cells prefer to differentiate into an anergic phenotype in the adaptive immune response when there are increased levels of Ca2+ in the cytosol.,0.7647058823529411,0.7647058823529411,1
491,56893404,0,0.2091050148010254,HNF4A mutations can cause diabetes in mutant carriers by the age of 14 years,Our data demonstrate that pancreatic deletion of Hnf4a can cause hypoglycaemia in patients with heterozygous mutations in the maturity-onset diabetes of the young genes HNF4A and HNF1,0.6666666666666666,0.3333333333333333,0
501,24285403,1,0.32924315333366394,Headaches are not correlated with cognitive impairment.,A low ABI may be useful in identifying older individuals at higher risk of cognitive impairment.,0.4,0.8181818181818182,1
502,43990286,1,0.2158747911453247,The emergence of a crowded delivery center is a key factor in the development of the healthcare delivery system.,We describe advances in cell and biomolecule delivery for tissue regeneration and repair.,0.8888888888888888,0.75,1
507,35079452,1,0.2999023199081421,Helminths interfere with immune system control of macrophages activated by IL-4 favor Mycobacterium tuberculosis replication.,Helminths interfere with immune system control of macrophages activated by IL-4 favor Mycobacterium tuberculosis replication.,0.5454545454545454,0.5454545454545454,1
508,34982259,1,0.26647114753723145,Hematopoietic Stem Cell purification reaches purity rate of up to 50%.,The hematopoietic stem cell purification reaches a purity rate of up to 50%.,0.5714285714285714,0.5714285714285714,1
513,13230773,0,0.20302259922027588,High cardiopulmonary fitness causes increased mortality rate.,Low fitness was identified in 33.6% of adolescents (approximately 7.5 million US adolescents) and 13.9% of adults (approximately 8.5 million US adults); the prevalence was similar in ado,0.2857142857142857,0.1,0
514,3150030,1,0.3724457621574402,High dietary calcium intakes are unnecessary for prevention of secondary hyperparathyroidism in subjects with 25(OH)D levels above 75 nmol/liter.,a correlation between 25(OH)D and latitude,0.6923076923076923,0.6666666666666666,1
516,29564505,0,0.40035736560821533,High levels of CRP reduce the risk of exacerbations in chronic obstructive pulmonary disease (COPD).,High levels of CRP reduce the risk of exacerbations in chronic obstructive pulmonary disease.,0.09090909090909091,0.1,0
517,17656445,1,0.22083550691604614,High levels of copeptin decrease the risk of diabetes.,"Fructosamine, glycated albumin, and 1,5-anhydroglucitol are of interest for monitoring short-term glycemic control in patients with diabetes; however, their associations with",0.3333333333333333,0.8,1
521,34873974,0,0.2549670934677124,High-sensitivity cardiac troponin T (HSCT-T) dose may not be diagnostic if the onset of symptoms occurs less than 3 hours before acute myocardial injury (AMI).,"ng/L and 3-5 ng/L are not a diagnostic test, the sensitivity of the synthetic assay is 97.4% (94.9% to 98.7%) and the summary",0.4,0.14285714285714285,0
525,13639330,0,0.2821033298969269,Histone demethylase recruitment and a transient decrease in histone methylation is necessary for ligand-dependent induction of transcription by nuclear receptors.,A novel strategy for regulating constitutive gene activation by regulating transcription factors is proposed.,0.38461538461538464,0.3333333333333333,0
527,3863543,0,0.25524768233299255,Homozygous deletion of murine Sbds gene from osterix-expressing mesenchymal stem and progenitor cells (MPCs) prevents oxidative stress.,Our findings identify mesenchymal niche-induced genotoxic stress in heterotypic stem and progenitor cells through inflammatory signaling as a targetable determinant of disease outcome in human pre-le,0.6,0.0,0
528,5476778,0,0.3394845426082611,Immunoglobulin G (IgG) antibodies are produced in HAM/TSP patients in the tax-related hammer-like hammer-like hammer-like hammer-like ham,Our study demonstrates the importance of molecular mimicry between an infecting agent and hnRNP-A1 in autoimmune disease of the CNS.,0.45454545454545453,0.07692307692307693,0
532,1387104,1,0.20836937427520752,Hyperfibrinogenemia decreases rates of femoropopliteal bypass thrombosis.,                       ,0.6666666666666666,1.0,1
533,1387104,1,0.2184295952320099,Hyperfibrinogenemia increases rates of femoropopliteal bypass thrombosis.,"The risk of venous thrombosis was highest in the first few months after the diagnosis of malignancy (adjusted OR, 53.5; 95% CI, 8.6-334.",0.6666666666666666,0.9166666666666666,1
535,30805636,1,0.2769354581832886,Hypertension is frequently observed in type 1 diabetes patients.,onset of diabetes in patients with coronary artery disease.,0.8333333333333334,0.8333333333333334,1
536,43566999,1,0.20625631511211395,Hypocretin neurones induce panic-prone state in rats.,The underlying mechanism of the exercise is that the underlying mechanism of the exercise is primarily a motor-driven treadmill exercise.,0.2857142857142857,1.0,1
539,13282296,0,0.43792104721069336,Hypoglycemia is a common cause of dementia.,Hypoglycemia increases the risk of dementia in older patients with type 2 diabetes mellitus.,0.5,0.1111111111111111,0
540,2225918,1,0.26086825132369995,glutamate neurons are crucial to energy balance.,VESICULAR VESICULAR VESICULAR VESICULAR VESICULAR VESICULAR VESICULAR VESICULAR,0.6,0.0,0
544,32556431,1,0.21625980734825134,IFIT1 restricts viral replication by sequestrating mis-capped viral RNAs.,IFIT1 restricts viral replication by sequestrating mis-capped viral RNAs.,0.75,0.75,1
549,9433958,0,0.21071578562259674,IRG1 has antiviral effects against neurotropic viruses.,These results suggest that the interferon-stimulated genes in granule cell neurons confer differential susceptibility to viral infection ex vivo and in vivo.,0.0,0.2,0
551,8903143,1,0.35271233320236206,ITAM phosphorylation prevents the transfer of the T cell receptor signal from the echo-domain to the cytoplasmic tail of the T cell receptor (TCR).,TCR phosphorylation of the TCR cytoplasmic domain regulates its association with the plasma membrane and highlights the functional importance of TCR BRS motifs.,0.6666666666666666,0.7142857142857143,1
